segment,n_customers,share_customers,avg_recency,median_recency,avg_frequency,median_frequency,avg_monetary,median_monetary,revenue_share,high_recency_share
0,511,0.5161616161616162,97.87084148727985,85.0,3.7495107632093934,4.0,22873.718219178085,22610.16,0.380053379550232,0.07632093933463796
1,291,0.29393939393939394,98.38487972508591,82.0,6.8728522336769755,7.0,53962.244982817865,53069.490000000005,0.5105872081530631,0.0859106529209622
2,188,0.1898989898989899,383.74468085106383,355.0,2.74468085106383,3.0,17890.043085106387,16601.934999999998,0.10935941229670493,0.9787234042553191
